order,heading,roll,pitch,ax,ay,az
313,359.75,1.1875,25.5,0.01,-0.01,-0.02
314,359.75,1.1875,25.5,0.0,0.0,-0.02
315,359.75,1.1875,25.5,0.01,-0.01,-0.01
316,359.75,1.1875,25.5,0.01,0.0,-0.05
317,359.75,1.1875,25.5,0.01,0.0,-0.05
318,359.75,1.1875,25.5,0.0,-0.01,-0.07
319,359.75,1.1875,25.5,0.01,0.0,-0.03
320,359.75,1.1875,25.5,0.02,-0.02,-0.03
321,359.75,1.1875,25.5,0.02,-0.02,-0.03
322,359.75,1.1875,25.5,0.01,-0.01,-0.02
323,359.75,1.1875,25.5,0.01,0.0,-0.03
324,359.75,1.1875,25.5,0.01,-0.02,-0.02
325,359.75,1.1875,25.5,0.02,0.0,-0.04
326,359.75,1.1875,25.5,0.0,0.0,-0.02
327,359.75,1.1875,25.5,0.01,0.0,-0.04
328,359.75,1.1875,25.5,0.01,0.0,-0.04
329,359.75,1.1875,25.5,0.0,0.0,-0.02
330,359.75,1.1875,25.5,0.03,0.0,-0.02
331,359.75,1.1875,25.5,0.03,0.0,-0.02
332,359.75,1.1875,25.5,0.01,0.0,-0.02
333,359.75,1.1875,25.5,0.01,0.0,-0.02
334,359.75,1.1875,25.5,0.0,-0.02,-0.05
335,359.75,1.1875,25.5,0.01,-0.02,-0.05
336,359.75,1.1875,25.5,0.01,-0.02,-0.05
337,359.75,1.1875,25.5,0.0,0.0,-0.03
338,359.75,1.1875,25.5,0.02,-0.01,-0.02
339,359.75,1.1875,25.5,0.01,0.0,-0.02
340,359.75,1.1875,25.5,0.01,0.0,-0.04
341,359.75,1.1875,25.5,0.01,0.0,-0.04
342,359.75,1.1875,25.5,0.01,0.0,-0.02
343,359.75,1.1875,25.5,0.01,0.0,-0.04
344,359.75,1.1875,25.5,0.01,-0.02,-0.03
345,359.75,1.1875,25.5,0.01,0.01,-0.04
346,359.75,1.1875,25.5,0.01,0.01,-0.04
347,359.75,1.1875,25.5,0.0,0.0,-0.02
348,359.75,1.1875,25.5,0.02,-0.02,-0.01
349,359.75,1.1875,25.5,0.02,-0.02,-0.01
350,359.75,1.1875,25.5,0.03,-0.01,-0.03
351,359.75,1.1875,25.5,0.0,-0.01,-0.01
352,359.75,1.1875,25.5,0.0,0.0,0.0
353,359.75,1.1875,25.5,0.0,0.0,0.0
354,359.75,1.1875,25.5,0.01,0.0,-0.03
355,359.75,1.1875,25.5,0.02,0.0,-0.03
356,359.75,1.1875,25.5,0.01,-0.02,-0.03
357,359.75,1.1875,25.5,0.01,-0.02,-0.03
358,359.75,1.1875,25.5,0.0,0.0,-0.02
359,359.75,1.1875,25.5,0.01,-0.02,-0.02
360,359.75,1.1875,25.5,0.01,-0.02,-0.02
361,359.75,1.1875,25.5,0.0,0.0,-0.01
362,359.75,1.1875,25.5,0.02,-0.01,-0.05
363,359.75,1.1875,25.5,0.02,-0.01,-0.05
364,359.75,1.1875,25.5,0.0,0.0,0.0
365,359.75,1.1875,25.5,0.01,0.0,-0.02
366,359.75,1.1875,25.5,0.04,0.01,-0.02
367,359.75,1.1875,25.5,0.04,0.01,-0.02
368,359.75,1.1875,25.5,0.01,0.0,-0.01
369,359.75,1.1875,25.5,0.01,0.0,-0.01
370,359.75,1.1875,25.5,0.0,0.0,-0.03
371,359.75,1.1875,25.5,0.02,0.0,-0.03
372,359.75,1.1875,25.5,0.02,0.0,-0.03
373,359.75,1.1875,25.5,0.0,-0.01,-0.02
374,359.75,1.1875,25.5,0.01,0.0,-0.02
375,359.75,1.1875,25.5,0.01,0.0,-0.05
376,359.75,1.1875,25.5,0.01,0.0,-0.05
377,359.75,1.1875,25.5,0.0,0.01,-0.01
378,359.75,1.1875,25.5,0.0,0.01,-0.01
379,359.75,1.1875,25.5,0.0,-0.01,-0.01
380,359.75,1.1875,25.5,0.02,0.0,-0.01
381,359.75,1.1875,25.5,0.01,0.0,-0.02
382,359.75,1.1875,25.5,0.01,0.0,-0.02
383,359.75,1.1875,25.5,0.01,0.0,-0.04
