order,heading,roll,pitch,ax,ay,az
393,200.625,-0.1875,-15.5,0.62,0.36,-1.28
394,198.8125,-0.25,-15.5,-0.61,0.16,1.47
395,197.0625,-0.1875,-15.5,5.34,0.31,-1.5
396,195.1875,-0.1875,-15.5,3.37,3.87,0.85
397,193.3125,-0.3125,-15.4375,-1.64,-2.18,0.83
398,191.4375,-0.5,-15.5,1.57,2.69,-0.28
399,189.625,-0.4375,-15.625,3.56,0.87,-0.16
400,187.875,-0.3125,-15.5625,0.08,-1.6,-0.19
401,184.1875,-0.4375,-15.4375,0.29,2.42,-1.0
402,180.6875,-0.3125,-15.25,2.8,4.14,-3.15
403,177.125,-0.5625,-15.625,1.74,-0.75,0.62
404,171.625,-0.75,-16.125,1.87,1.65,-1.5
405,168.25,-0.75,-16.25,3.67,1.06,-1.51
406,164.9375,-0.9375,-16.25,2.25,-2.72,0.22
407,161.3125,-0.625,-16.4375,0.61,4.35,-1.11
408,159.5625,-0.4375,-16.5,1.22,3.99,-2.01
409,156.3125,-0.6875,-16.875,0.17,-0.81,5.06
410,153.625,-0.8125,-16.8125,1.82,-4.05,0.71
411,150.875,-0.75,-16.875,-1.14,2.55,4.18
412,149.625,-0.75,-16.9375,0.74,1.76,2.82
413,148.4375,-0.625,-16.9375,-0.41,-5.0,-0.42
414,147.375,-0.5625,-17.0,0.89,-0.01,0.34
415,146.3125,-0.5625,-17.125,-0.56,-0.76,0.55
416,144.5625,-0.5,-17.25,-0.19,-0.3,-0.74
417,143.8125,-0.5,-17.1875,1.03,-1.68,-0.06
418,143.0625,-0.5625,-17.1875,-0.09,2.09,1.42
419,142.5,-0.5625,-16.9375,1.42,2.22,-1.03
420,141.9375,-0.5,-16.875,-0.55,-4.78,0.02
421,141.375,-0.4375,-16.875,1.03,0.79,-0.35
422,140.8125,-0.4375,-16.9375,0.36,-1.14,-0.53
423,140.375,-0.4375,-17.0,1.0,0.12,0.01
424,139.5625,-0.3125,-17.1875,0.77,-1.21,-0.36
425,139.1875,-0.375,-17.3125,-0.74,-0.6,-0.65
426,138.875,-0.5,-17.3125,-2.59,-0.9,2.96
427,138.6875,-0.5,-17.25,-0.92,-1.54,0.63
428,138.5,-0.25,-17.125,0.18,-0.33,-1.09
429,138.3125,-0.125,-17.0625,2.13,-0.89,-0.03
430,138.125,-0.25,-17.0625,-0.29,-1.81,0.36
431,137.9375,-0.375,-17.125,-1.95,-1.62,1.39
432,137.75,-0.3125,-17.1875,-0.11,-1.73,-0.69
433,137.5625,-0.1875,-17.3125,-0.58,-1.17,0.97
434,137.375,-0.1875,-17.4375,0.03,-0.9,-0.24
435,137.25,-0.125,-17.5625,-0.04,-1.09,0.07
436,137.1875,-0.0625,-17.5625,-0.05,-1.65,-0.99
437,137.125,0.0,-17.4375,1.04,-0.13,0.16
438,136.9375,0.0625,-17.3125,1.78,-2.15,-1.69
439,136.875,-0.0625,-17.3125,-1.43,-1.2,0.68
440,136.75,-0.125,-17.3125,-0.95,-2.07,0.6
441,136.5625,0.0,-17.375,0.41,-2.5,-0.04
442,136.4375,0.0,-17.5,1.18,-1.56,-0.84
443,136.4375,0.125,-17.5625,-1.77,-2.89,1.55
444,136.4375,0.1875,-17.5,-0.58,-2.78,-0.01
445,136.4375,0.25,-17.375,0.4,-1.62,-0.54
446,136.5,0.375,-17.3125,1.86,-1.02,0.89
447,136.5,0.1875,-17.3125,-1.27,-2.14,0.66
448,136.375,0.1875,-17.375,-2.12,-1.17,2.61
449,136.25,0.375,-17.3125,-0.45,-2.22,0.14
450,136.1875,0.5,-17.3125,-0.77,-3.56,0.33
451,136.25,0.625,-17.25,0.23,-1.07,0.58
452,136.3125,0.75,-17.1875,2.12,-1.81,0.84
453,136.4375,0.6875,-17.0625,-0.16,-0.42,0.5
454,136.25,0.5,-17.125,-1.44,-2.29,2.15
455,136.0625,0.75,-17.1875,-0.93,-3.26,-1.03
456,136.0,0.9375,-17.25,-0.42,-1.57,1.05
